cal_S_function with E_thr = 5.0 MeV
T[MeV]	cal_S	cal_S_error
3.620	8.1488174939e-09	7.0515072720e-15
3.630	8.2667782280e-09	7.0654821463e-15
3.640	8.3860602443e-09	7.0794422582e-15
3.650	8.5066741073e-09	7.0933885895e-15
3.660	8.6286304322e-09	7.1073221432e-15
3.670	8.7519398852e-09	7.1209778755e-15
3.680	8.8766131837e-09	7.1345254824e-15
3.690	9.0026610961e-09	7.1478629954e-15
3.700	9.1300944418e-09	7.1610850133e-15
3.710	9.2589240918e-09	7.1743051239e-15
3.720	9.3891609679e-09	7.1875238386e-15
3.730	9.5208160435e-09	7.2006659706e-15
3.740	9.6539003432e-09	7.2135874092e-15
3.750	9.7884249431e-09	7.2265153308e-15
3.760	9.9244009705e-09	7.2394499674e-15
3.770	1.0061839604e-08	7.2523915879e-15
3.780	1.0200752075e-08	7.2652331490e-15
3.790	1.0341149665e-08	7.2779768584e-15
3.800	1.0483043707e-08	7.2907337885e-15
3.810	1.0626445587e-08	7.3034531248e-15
3.820	1.0771366742e-08	7.3161114881e-15
3.830	1.0917818659e-08	7.3287467637e-15
3.840	1.1065812880e-08	7.3413951776e-15
3.850	1.1215360996e-08	7.3540620634e-15
3.860	1.1366474651e-08	7.3667475363e-15
3.870	1.1519165541e-08	7.3794518173e-15
3.880	1.1673445413e-08	7.3921748552e-15
3.890	1.1829326067e-08	7.4049167096e-15
3.900	1.1986819353e-08	7.4176783554e-15
3.910	1.2145937175e-08	7.4304602136e-15
3.920	1.2306691488e-08	7.4432627423e-15
3.930	1.2469094298e-08	7.4560864508e-15
3.940	1.2633157665e-08	7.4689318877e-15
3.950	1.2798893699e-08	7.4817996338e-15
3.960	1.2966314564e-08	7.4946902930e-15
3.970	1.3135432474e-08	7.5076045228e-15
3.980	1.3306259695e-08	7.5205429981e-15
3.990	1.3478808547e-08	7.5334463217e-15
4.000	1.3653091401e-08	7.5462775419e-15
4.010	1.3829120679e-08	7.5591381325e-15
4.020	1.4006908856e-08	7.5720287111e-15
4.030	1.4186468459e-08	7.5849499223e-15
4.040	1.4367812068e-08	7.5979024459e-15
4.050	1.4550952312e-08	7.6108869859e-15
4.060	1.4735901876e-08	7.6239042813e-15
4.070	1.4922673493e-08	7.6369550859e-15
4.080	1.5111279951e-08	7.6500402009e-15
4.090	1.5301734089e-08	7.6631604394e-15
4.100	1.5494048797e-08	7.6763166228e-15
4.110	1.5688237018e-08	7.6895096126e-15
4.120	1.5884311748e-08	7.7027402996e-15
4.130	1.6082286033e-08	7.7160095635e-15
4.140	1.6282172970e-08	7.7293183374e-15
4.150	1.6483985712e-08	7.7426675494e-15
4.160	1.6687737460e-08	7.7560581455e-15
4.170	1.6893441468e-08	7.7694911097e-15
4.180	1.7101111042e-08	7.7829674248e-15
4.190	1.7310759540e-08	7.7964881016e-15
4.200	1.7522400372e-08	7.8100541458e-15
4.210	1.7736046998e-08	7.8236665970e-15
4.220	1.7951712931e-08	7.8373265071e-15
4.230	1.8169411736e-08	7.8510349444e-15
4.240	1.8389157028e-08	7.8647929716e-15
4.250	1.8610962476e-08	7.8786017012e-15
