cal_S_function with E_thr = 15.0 MeV
T[MeV]	cal_S	cal_S_error
4.780	3.2787477651e-07	9.9970382846e-15
4.790	3.3291373469e-07	1.0201122666e-14
4.800	3.3801461117e-07	1.0408395162e-14
4.810	3.4317796224e-07	1.0618878362e-14
4.820	3.4840434703e-07	1.0832595815e-14
4.830	3.5369432750e-07	1.1049425967e-14
4.840	3.5904846845e-07	1.1269391363e-14
4.850	3.6446733751e-07	1.1492663172e-14
4.860	3.6995150513e-07	1.1719266827e-14
4.870	3.7550154458e-07	1.1949228203e-14
4.880	3.8111803195e-07	1.2182573640e-14
4.890	3.8680154615e-07	1.2419330113e-14
4.900	3.9255266888e-07	1.2659525349e-14
4.910	3.9837198466e-07	1.2903187118e-14
4.920	4.0426008080e-07	1.3150344509e-14
4.930	4.1021754742e-07	1.3401026266e-14
4.940	4.1624497740e-07	1.3655262823e-14
4.950	4.2234296643e-07	1.3913084036e-14
4.960	4.2851211297e-07	1.4174521260e-14
4.970	4.3475301824e-07	1.4439606247e-14
4.980	4.4106628626e-07	1.4708371178e-14
4.990	4.4745252377e-07	1.4980848945e-14
5.000	4.5391234029e-07	1.5257073413e-14
5.010	4.6044634809e-07	1.5537078833e-14
5.020	4.6705516218e-07	1.5820900100e-14
5.030	4.7373940030e-07	1.6108573135e-14
5.040	4.8049968294e-07	1.6400134254e-14
5.050	4.8733663330e-07	1.6695620972e-14
5.060	4.9425087728e-07	1.6995071279e-14
5.070	5.0124304353e-07	1.7298523986e-14
5.080	5.0831376338e-07	1.7606018671e-14
5.090	5.1546367085e-07	1.7917596192e-14
5.100	5.2269340267e-07	1.8233297518e-14
5.110	5.3000359824e-07	1.8553165047e-14
5.120	5.3739489964e-07	1.8877229233e-14
5.130	5.4486795160e-07	1.9205489706e-14
5.140	5.5242340153e-07	1.9538048472e-14
5.150	5.6006189948e-07	1.9874951827e-14
5.160	5.6778409816e-07	2.0216246528e-14
5.170	5.7559065288e-07	2.0561981248e-14
5.180	5.8348222160e-07	2.0912205851e-14
5.190	5.9145946491e-07	2.1266970205e-14
5.200	5.9952304599e-07	2.1626326405e-14
5.210	6.0767363062e-07	2.1990327798e-14
5.220	6.1591188719e-07	2.2359028562e-14
5.230	6.2423848664e-07	2.2732484196e-14
5.240	6.3265410253e-07	2.3110751849e-14
5.250	6.4115941094e-07	2.3493890158e-14
5.260	6.4975509054e-07	2.3881958546e-14
5.270	6.5844182252e-07	2.4275019000e-14
5.280	6.6722029063e-07	2.4671820726e-14
5.290	6.7609118112e-07	2.5070906431e-14
5.300	6.8505518279e-07	2.5474976414e-14
5.310	6.9411298691e-07	2.5884091034e-14
5.320	7.0326528729e-07	2.6298310863e-14
5.330	7.1251278018e-07	2.6717699224e-14
5.340	7.2185616433e-07	2.7142320992e-14
5.350	7.3129614097e-07	2.7572241872e-14
5.360	7.4083341376e-07	2.8007530419e-14
5.370	7.5046868882e-07	2.8448255286e-14
5.380	7.6020267470e-07	2.8894488673e-14
5.390	7.7003608237e-07	2.9346303849e-14
5.400	7.7996962521e-07	2.9803776024e-14
5.410	7.9000401902e-07	3.0266982526e-14
5.420	8.0013998196e-07	3.0736002774e-14
5.430	8.1037823459e-07	3.1210919166e-14
5.440	8.2071949983e-07	3.1691814354e-14
5.450	8.3116450296e-07	3.2178775529e-14
