cal_S_function with E_thr = 10.0 MeV
T[MeV]	cal_S	cal_S_error
2.820	6.3888632384e-50	8.6038564041e-57
2.830	6.5482262513e-50	8.6584008481e-57
2.840	6.7108637583e-50	8.7113684488e-57
2.850	6.8768289443e-50	8.7620629690e-57
2.860	7.0461756361e-50	8.8128268688e-57
2.870	7.2189583071e-50	8.8636693108e-57
2.880	7.3952320825e-50	8.9146006824e-57
2.890	7.5750527448e-50	8.9656340320e-57
2.900	7.7584767389e-50	9.0165372323e-57
2.910	7.9455611770e-50	9.0632758150e-57
2.920	8.1363638443e-50	9.1100565662e-57
2.930	8.3309432038e-50	9.1568876381e-57
2.940	8.5293584021e-50	9.2037771685e-57
2.950	8.7316692742e-50	9.2507335125e-57
2.960	8.9379363490e-50	9.2977650819e-57
2.970	9.1482208547e-50	9.3437715542e-57
2.980	9.3625847243e-50	9.3865344367e-57
2.990	9.5810906004e-50	9.4293600920e-57
3.000	9.8038018412e-50	9.4710178582e-57
3.010	1.0030782526e-49	9.5100569714e-57
3.020	1.0262097459e-49	9.5490157051e-57
3.030	1.0497812177e-49	9.5844610544e-57
3.040	1.0737992954e-49	9.6200468515e-57
3.050	1.0982706807e-49	9.6557699784e-57
3.060	1.1232021499e-49	9.6909497180e-57
3.070	1.1486005549e-49	9.7241409793e-57
3.080	1.1744728234e-49	9.7575100284e-57
3.090	1.2008259595e-49	9.7897517366e-57
3.100	1.2276670443e-49	9.8214595163e-57
3.110	1.2550032366e-49	9.8531089696e-57
3.120	1.2828417734e-49	9.8849595584e-57
3.130	1.3111899701e-49	9.9170055629e-57
3.140	1.3400552216e-49	9.9492423859e-57
3.150	1.3694450026e-49	9.9816662531e-57
3.160	1.3993668681e-49	1.0014274417e-56
3.170	1.4298284540e-49	1.0047064796e-56
3.180	1.4608374780e-49	1.0080036095e-56
3.190	1.4924017395e-49	1.0113187734e-56
3.200	1.5245291208e-49	1.0146519678e-56
3.210	1.5572275875e-49	1.0180032512e-56
3.220	1.5905051888e-49	1.0213727262e-56
3.230	1.6243700584e-49	1.0247605683e-56
3.240	1.6588304150e-49	1.0281669814e-56
3.250	1.6938945628e-49	1.0314274051e-56
3.260	1.7295708920e-49	1.0346356508e-56
3.270	1.7658678797e-49	1.0378658486e-56
3.280	1.8027940902e-49	1.0411181327e-56
3.290	1.8403581757e-49	1.0443927021e-56
3.300	1.8785688767e-49	1.0476863445e-56
3.310	1.9174350229e-49	1.0510021939e-56
3.320	1.9569655336e-49	1.0543240592e-56
3.330	1.9971694183e-49	1.0576082690e-56
3.340	2.0380557772e-49	1.0609169662e-56
3.350	2.0796338021e-49	1.0642507306e-56
3.360	2.1219127767e-49	1.0676102272e-56
3.370	2.1649020772e-49	1.0709962452e-56
3.380	2.2086111730e-49	1.0744096861e-56
3.390	2.2530496273e-49	1.0778516658e-56
3.400	2.2982270978e-49	1.0813235727e-56
3.410	2.3441533368e-49	1.0848272995e-56
3.420	2.3908381926e-49	1.0883659723e-56
3.430	2.4382916093e-49	1.0919522695e-56
3.440	2.4865236280e-49	1.0955952591e-56
3.450	2.5355443870e-49	1.0992796191e-56
3.460	2.5853641226e-49	1.1030034764e-56
3.470	2.6359931697e-49	1.1067664296e-56
3.480	2.6874419623e-49	1.1105685936e-56
3.490	2.7397210343e-49	1.1144102879e-56
3.500	2.7928410198e-49	1.1182919928e-56
3.510	2.8468126541e-49	1.1222142720e-56
3.520	2.9016467737e-49	1.1261777369e-56
3.530	2.9573543177e-49	1.1301830741e-56
3.540	3.0139463278e-49	1.1342309902e-56
3.550	3.0714339491e-49	1.1383222418e-56
3.560	3.1298284306e-49	1.1424575908e-56
3.570	3.1891411263e-49	1.1466378321e-56
3.580	3.2493834949e-49	1.1508637799e-56
3.590	3.3105671014e-49	1.1551362839e-56
3.600	3.3727036169e-49	1.1594561878e-56
3.610	3.4358048197e-49	1.1638243522e-56
3.620	3.4998825958e-49	1.1682416800e-56
3.630	3.5649489393e-49	1.1727090692e-56
3.640	3.6310159534e-49	1.1772274267e-56
3.650	3.6980958506e-49	1.1817976845e-56
3.660	3.7662009535e-49	1.1864207788e-56
3.670	3.8353436956e-49	1.1910964677e-56
3.680	3.9055366215e-49	1.1958267132e-56
3.690	3.9767923879e-49	1.2006124551e-56
3.700	4.0491237637e-49	1.2054547021e-56
3.710	4.1225436314e-49	1.2103544082e-56
3.720	4.1970649869e-49	1.2153125741e-56
3.730	4.2727009406e-49	1.2203114650e-56
3.740	4.3494647178e-49	1.2252467530e-56
3.750	4.4273696595e-49	1.2302431118e-56
3.760	4.5064292228e-49	1.2353015597e-56
3.770	4.5866569815e-49	1.2404231364e-56
3.780	4.6680666269e-49	1.2456088687e-56
3.790	4.7506719683e-49	1.2508598216e-56
3.800	4.8344869335e-49	1.2561770604e-56
3.810	4.9195255698e-49	1.2615616724e-56
3.820	5.0058020438e-49	1.2670147343e-56
3.830	5.0933306430e-49	1.2725373716e-56
3.840	5.1821257757e-49	1.2781306967e-56
3.850	5.2722019718e-49	1.2837958400e-56
3.860	5.3635738835e-49	1.2895339548e-56
3.870	5.4562562857e-49	1.2953462040e-56
3.880	5.5502640770e-49	1.3012337628e-56
3.890	5.6456122796e-49	1.3071978302e-56
3.900	5.7423160405e-49	1.3132396125e-56
3.910	5.8403906321e-49	1.3193603088e-56
3.920	5.9398514523e-49	1.3255611864e-56
3.930	6.0407140255e-49	1.3318434792e-56
