cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
4.610	1.2104538741e-47	3.6795800235e-55
4.620	1.2274585606e-47	3.6819571798e-55
4.630	1.2446614517e-47	3.6844580213e-55
4.640	1.2620643602e-47	3.6872203401e-55
4.650	1.2796691101e-47	3.6904319777e-55
4.660	1.2974775369e-47	3.6935900724e-55
4.670	1.3154914876e-47	3.6970692485e-55
4.680	1.3337128206e-47	3.7009772782e-55
4.690	1.3521433510e-47	1.2021053658e-53
4.700	1.3707850704e-47	8.6033400373e-54
4.710	1.3896398164e-47	5.6422612583e-54
4.720	1.4087094935e-47	3.1735704561e-54
4.730	1.4279960180e-47	1.2643423859e-54
4.740	1.4475013174e-47	8.8338652069e-56
4.750	1.4672273310e-47	6.5372680200e-55
4.760	1.4871760100e-47	2.1883956243e-54
4.770	1.5073493168e-47	4.1894259577e-54
4.780	1.5277492258e-47	6.5280206300e-54
4.790	1.5483777230e-47	9.1292311651e-54
4.800	1.5692368061e-47	1.1941189166e-53
4.810	1.5903284846e-47	1.4924707229e-53
4.820	1.6116548277e-47	3.7914377065e-55
4.830	1.6332177717e-47	3.8009110564e-55
4.840	1.6550194100e-47	3.8104428566e-55
4.850	1.6770617991e-47	3.8194874752e-55
4.860	1.6993470075e-47	3.8289310252e-55
4.870	1.7218771153e-47	3.8387764259e-55
4.880	1.7446542146e-47	3.8490267963e-55
4.890	1.7676804093e-47	3.8596852440e-55
4.900	1.7909578152e-47	3.8707550187e-55
4.910	1.8144885601e-47	3.8822394767e-55
4.920	1.8382747834e-47	3.8941422348e-55
4.930	1.8623186368e-47	3.9064667784e-55
4.940	1.8866222835e-47	3.9192169496e-55
4.950	1.9111878991e-47	3.9323965913e-55
4.960	1.9360176708e-47	3.9458185737e-55
4.970	1.9611137979e-47	3.9584061296e-55
4.980	1.9864784916e-47	3.9713793112e-55
4.990	2.0121139753e-47	3.9847407494e-55
5.000	2.0380224840e-47	3.9979328176e-55
5.010	2.0642062651e-47	4.0102403406e-55
5.020	2.0906675777e-47	4.0228905372e-55
5.030	2.1174086931e-47	4.0358850721e-55
5.040	2.1444318946e-47	4.0492255227e-55
5.050	2.1717394774e-47	4.0629135164e-55
5.060	2.1993337489e-47	4.0769508930e-55
5.070	2.2272170285e-47	4.0913392303e-55
5.080	2.2553916475e-47	4.1060803849e-55
5.090	2.2838599494e-47	4.1211762656e-55
5.100	2.3126242898e-47	4.1366286877e-55
5.110	2.3416870361e-47	4.1524397051e-55
5.120	2.3710505682e-47	4.1686110831e-55
5.130	2.4007172776e-47	4.1851451652e-55
5.140	2.4306895682e-47	4.2020436759e-55
5.150	2.4609698557e-47	4.2193090190e-55
5.160	2.4915605681e-47	4.2369431899e-55
5.170	2.5224641455e-47	4.2549484228e-55
5.180	2.5536830397e-47	4.2733270950e-55
5.190	2.5852197150e-47	4.2906091992e-55
5.200	2.6170766476e-47	4.3076124218e-55
5.210	2.6492563258e-47	4.3240977497e-55
5.220	2.6817612498e-47	4.3396129037e-55
5.230	2.7145939321e-47	4.3554451750e-55
5.240	2.7477568971e-47	4.3715959871e-55
5.250	2.7812526814e-47	4.3880668787e-55
5.260	2.8150838336e-47	4.4048593984e-55
5.270	2.8492529142e-47	4.4219751092e-55
5.280	2.8837624960e-47	4.4394156669e-55
5.290	2.9186151637e-47	4.4571826744e-55
5.300	2.9538135141e-47	4.4752778081e-55
5.310	2.9893601559e-47	4.4937027984e-55
5.320	3.0252577099e-47	4.5124595385e-55
5.330	3.0615088091e-47	4.5315496088e-55
5.340	3.0981160688e-47	3.0721115288e-53
5.350	3.1350822041e-47	3.0502048318e-53
5.360	3.1724098550e-47	3.0285017166e-53
5.370	3.2101017022e-47	3.0069993757e-53
5.380	3.2481604386e-47	2.9856950684e-53
5.390	3.2865887688e-47	2.9645860871e-53
5.400	3.3253894096e-47	2.9436697883e-53
5.410	3.3645650895e-47	2.9229435714e-53
5.420	3.4041185492e-47	2.9024048818e-53
5.430	3.4440525410e-47	2.8820512236e-53
5.440	3.4843698293e-47	2.8618801276e-53
5.450	3.5250731904e-47	2.8418891877e-53
5.460	3.5661654124e-47	2.8220760330e-53
5.470	3.6076492952e-47	2.8024383440e-53
5.480	3.6495276507e-47	2.7829738283e-53
5.490	3.6918033025e-47	2.7636802510e-53
5.500	3.7344790860e-47	2.7445554093e-53
5.510	3.7775578486e-47	2.7255971433e-53
5.520	3.8210424492e-47	2.7068033304e-53
5.530	3.8649357585e-47	2.6881718841e-53
