T0	t0/tau	cal_g_function_a	err
6.800000e+00	9.600000e-01	4.8766313570e-06	5.8924270192e-09
6.800000e+00	9.700000e-01	4.8977551092e-06	3.9095228859e-09
6.800000e+00	9.800000e-01	4.9188308831e-06	2.2676265862e-09
6.800000e+00	9.900000e-01	4.9398420311e-06	2.9662470962e-09
6.800000e+00	1.000000e+00	4.9608409076e-06	2.0711537028e-10
6.800000e+00	1.010000e+00	4.9817763337e-06	1.2087267400e-10
6.800000e+00	1.020000e+00	5.0026661328e-06	6.6626912734e-10
6.800000e+00	1.030000e+00	5.0235108640e-06	1.3101755903e-09
6.800000e+00	1.040000e+00	5.0443110753e-06	1.9156953253e-09
6.800000e+00	1.050000e+00	5.0650673042e-06	2.4047033248e-09
6.800000e+00	1.060000e+00	5.0857800779e-06	2.7302792884e-09
6.800000e+00	1.070000e+00	5.1064499139e-06	2.8688681332e-09
6.800000e+00	1.080000e+00	5.1270773197e-06	2.8155085420e-09
6.800000e+00	1.090000e+00	5.1476627935e-06	2.5820029163e-09
6.800000e+00	1.100000e+00	5.1682068244e-06	2.1990730878e-09
6.800000e+00	1.110000e+00	5.1887098925e-06	1.7073351593e-09
6.800000e+00	1.120000e+00	5.2091724693e-06	1.1586043364e-09
6.800000e+00	1.130000e+00	5.2295950175e-06	6.1673504348e-10
6.800000e+00	1.140000e+00	5.2499779918e-06	1.6678956028e-10
6.800000e+00	1.150000e+00	5.2703218386e-06	5.8610480768e-11
6.800000e+00	1.160000e+00	5.2906269965e-06	4.9569519297e-10
6.800000e+00	1.170000e+00	5.3108938960e-06	1.1726883627e-09
6.800000e+00	1.180000e+00	5.3311229606e-06	2.0183909300e-09
6.800000e+00	1.190000e+00	5.3513146061e-06	2.9820384452e-09
6.800000e+00	1.200000e+00	5.3714692410e-06	4.0163187106e-09
6.800000e+00	1.210000e+00	5.3905596860e-06	3.2841227118e-09
6.800000e+00	1.220000e+00	5.4116690789e-06	6.1156298872e-09
6.800000e+00	1.230000e+00	5.4317150649e-06	7.0960378881e-09
6.800000e+00	1.240000e+00	5.4517256064e-06	7.9801366756e-09
6.800000e+00	1.250000e+00	5.4717010789e-06	8.7367406818e-09
6.800000e+00	1.260000e+00	5.4916418513e-06	9.3409041770e-09
6.800000e+00	1.270000e+00	5.5115482868e-06	9.7745422471e-09
6.800000e+00	1.280000e+00	5.5314207426e-06	1.0026760442e-08
6.800000e+00	1.290000e+00	5.5512595700e-06	1.0093848918e-08
6.800000e+00	1.300000e+00	5.5710651148e-06	9.9790549721e-09
6.800000e+00	1.310000e+00	5.5908377173e-06	9.6920426083e-09
6.800000e+00	1.320000e+00	5.6105613976e-06	4.1745341524e-09
6.800000e+00	1.330000e+00	5.6302854301e-06	8.6675330191e-09
6.800000e+00	1.340000e+00	5.6499611946e-06	7.9740146523e-09
6.800000e+00	1.350000e+00	5.6696053253e-06	7.1940768869e-09
6.800000e+00	1.360000e+00	5.6892181370e-06	6.3556594919e-09
6.800000e+00	1.370000e+00	5.7087999392e-06	5.4870497295e-09
6.800000e+00	1.380000e+00	5.7283510370e-06	4.6147470938e-09
6.800000e+00	1.390000e+00	5.7478717307e-06	3.7622472295e-09
6.800000e+00	1.400000e+00	5.7673623159e-06	2.9585403231e-09
6.800000e+00	1.410000e+00	5.7868230842e-06	2.2236697945e-09
6.800000e+00	1.420000e+00	5.8062543223e-06	1.5740760291e-09
6.800000e+00	1.430000e+00	5.8256563131e-06	1.0224827477e-09
6.800000e+00	1.440000e+00	5.8450293350e-06	5.7819140169e-10
6.800000e+00	1.450000e+00	5.8643736626e-06	2.4830086470e-10
6.800000e+00	1.460000e+00	5.8836895661e-06	4.2615767947e-11
6.800000e+00	1.470000e+00	5.9029773121e-06	4.2394591026e-11
6.800000e+00	1.480000e+00	5.9222371633e-06	1.9184879636e-10
6.800000e+00	1.490000e+00	5.9414693786e-06	3.6322878643e-10
6.800000e+00	1.500000e+00	5.9606742133e-06	5.2345595483e-10
6.800000e+00	1.510000e+00	5.9798519188e-06	6.5366770351e-10
6.800000e+00	1.520000e+00	5.9990027435e-06	7.4256110467e-10
6.800000e+00	1.530000e+00	6.0181269318e-06	7.8434429843e-10
6.800000e+00	1.540000e+00	6.0372247251e-06	7.7773708324e-10
6.800000e+00	1.550000e+00	6.0562963612e-06	7.2533113061e-10
6.800000e+00	1.560000e+00	6.0753420748e-06	6.3308527264e-10
6.800000e+00	1.570000e+00	6.0943620972e-06	5.0993005751e-10
6.800000e+00	1.580000e+00	6.1133566568e-06	3.6753427514e-10
6.800000e+00	1.590000e+00	6.1323259788e-06	2.2046052958e-10
6.800000e+00	1.600000e+00	6.1512702851e-06	8.7583770755e-11
6.800000e+00	1.610000e+00	6.1701897952e-06	1.5711571056e-12
6.800000e+00	1.620000e+00	6.1890847249e-06	7.7957982284e-11
