,Emeas[MeV],DiffRate[s-1MeV-1],Spectrum[MeV-1]
388,0.388,7.26853e-05,0.002180559
389,0.389,7.26712e-05,0.002180136
390,0.39,7.26571e-05,0.002179713
391,0.391,7.26431e-05,0.0021792929999999997
392,0.392,7.26291e-05,0.002178873
393,0.393,7.26151e-05,0.002178453
394,0.394,7.26011e-05,0.002178033
395,0.395,7.25872e-05,0.0021776160000000003
396,0.396,7.25733e-05,0.0021771990000000003
397,0.397,7.25594e-05,0.002176782
398,0.398,7.25455e-05,0.002176365
399,0.399,7.25317e-05,0.0021759509999999998
400,0.4,7.25178e-05,0.002175534
401,0.401,7.2504e-05,0.00217512
402,0.402,7.24902e-05,0.002174706
403,0.403,7.24765e-05,0.0021742949999999997
404,0.404,7.24628e-05,0.002173884
405,0.405,7.2449e-05,0.00217347
406,0.406,7.24354e-05,0.002173062
407,0.407,7.24217e-05,0.002172651
408,0.408,7.24081e-05,0.002172243
409,0.409,7.23944e-05,0.002171832
410,0.41,7.23808e-05,0.002171424
411,0.411,7.23673e-05,0.002171019
412,0.412,7.23537e-05,0.002170611
413,0.413,7.23402e-05,0.002170206
414,0.414,7.23267e-05,0.0021698010000000003
415,0.415,7.23132e-05,0.002169396
416,0.416,7.22998e-05,0.002168994
417,0.417,7.22863e-05,0.002168589
418,0.418,7.22729e-05,0.002168187
419,0.419,7.22595e-05,0.0021677849999999998
420,0.42,7.22462e-05,0.002167386
421,0.421,7.22328e-05,0.002166984
422,0.422,7.22195e-05,0.002166585
423,0.423,7.22062e-05,0.002166186
424,0.424,7.21929e-05,0.0021657869999999997
425,0.425,7.21797e-05,0.002165391
426,0.426,7.21665e-05,0.002164995
427,0.427,7.21533e-05,0.002164599
428,0.428,7.21401e-05,0.002164203
429,0.429,7.21269e-05,0.0021638070000000002
430,0.43,7.21138e-05,0.002163414
431,0.431,7.21007e-05,0.0021630209999999998
432,0.432,7.20876e-05,0.002162628
433,0.433,7.20745e-05,0.0021622349999999998
434,0.434,7.20615e-05,0.002161845
435,0.435,7.20485e-05,0.002161455
436,0.436,7.20355e-05,0.002161065
437,0.437,7.20225e-05,0.002160675
438,0.438,7.20095e-05,0.002160285
439,0.439,7.19966e-05,0.002159898
440,0.44,7.19837e-05,0.002159511
441,0.441,7.19708e-05,0.002159124
442,0.442,7.1958e-05,0.00215874
443,0.443,7.19451e-05,0.002158353
444,0.444,7.19323e-05,0.002157969
445,0.445,7.19195e-05,0.002157585
446,0.446,7.19067e-05,0.0021572009999999997
447,0.447,7.1894e-05,0.00215682
448,0.448,7.18813e-05,0.002156439
449,0.449,7.18686e-05,0.0021560579999999998
450,0.45,7.18559e-05,0.002155677
451,0.451,7.18432e-05,0.002155296
452,0.452,7.18306e-05,0.002154918
453,0.453,7.1818e-05,0.00215454
454,0.454,7.18054e-05,0.002154162
455,0.455,7.17928e-05,0.0021537839999999997
456,0.456,7.17803e-05,0.0021534090000000002
457,0.457,7.17678e-05,0.002153034
458,0.458,7.17553e-05,0.002152659
459,0.459,7.17428e-05,0.002152284
460,0.46,7.17303e-05,0.002151909
461,0.461,7.17179e-05,0.002151537
462,0.462,7.17055e-05,0.002151165
463,0.463,7.16931e-05,0.002150793
464,0.464,7.16807e-05,0.002150421
465,0.465,7.16684e-05,0.0021500520000000004
466,0.466,7.16561e-05,0.002149683
467,0.467,7.16438e-05,0.002149314
468,0.468,7.16315e-05,0.002148945
469,0.469,7.16193e-05,0.002148579
470,0.47,7.1607e-05,0.00214821
471,0.471,7.15948e-05,0.002147844
472,0.472,7.15826e-05,0.002147478
473,0.473,7.15705e-05,0.0021471150000000002
474,0.474,7.15584e-05,0.002146752
475,0.475,7.15462e-05,0.0021463859999999997
476,0.476,7.15341e-05,0.002146023
477,0.477,7.15221e-05,0.002145663
478,0.478,7.151e-05,0.0021453
479,0.479,7.1498e-05,0.00214494
480,0.48,7.1486e-05,0.00214458
481,0.481,7.1474e-05,0.00214422
482,0.482,7.14621e-05,0.0021438629999999998
483,0.483,7.14501e-05,0.0021435029999999997
484,0.484,7.14382e-05,0.0021431460000000003
485,0.485,7.14263e-05,0.002142789
486,0.486,7.14144e-05,0.002142432
487,0.487,7.14026e-05,0.0021420780000000004
488,0.488,7.13908e-05,0.002141724
489,0.489,7.1379e-05,0.00214137
490,0.49,7.13672e-05,0.002141016
491,0.491,7.13554e-05,0.0021406619999999998
492,0.492,7.13437e-05,0.002140311
493,0.493,7.1332e-05,0.00213996
494,0.494,7.13203e-05,0.0021396089999999998
495,0.495,7.13086e-05,0.0021392580000000002
496,0.496,7.1297e-05,0.00213891
497,0.497,7.12853e-05,0.002138559
498,0.498,7.12737e-05,0.002138211
499,0.499,7.12622e-05,0.002137866
500,0.5,7.12506e-05,0.002137518
501,0.501,7.12391e-05,0.002137173
502,0.502,7.12276e-05,0.002136828
503,0.503,7.12161e-05,0.002136483
504,0.504,7.12046e-05,0.002136138
505,0.505,7.11932e-05,0.0021357959999999997
506,0.506,7.11817e-05,0.002135451
507,0.507,7.11703e-05,0.002135109
508,0.508,7.11589e-05,0.0021347669999999997
509,0.509,7.11476e-05,0.0021344280000000003
510,0.51,7.11362e-05,0.0021340860000000003
511,0.511,7.11249e-05,0.002133747
512,0.512,7.11136e-05,0.002133408
513,0.513,7.11024e-05,0.0021330719999999997
514,0.514,7.10911e-05,0.002132733
515,0.515,7.10799e-05,0.002132397
516,0.516,7.10687e-05,0.002132061
517,0.517,7.10575e-05,0.002131725
518,0.518,7.10464e-05,0.0021313919999999997
519,0.519,7.10352e-05,0.002131056
520,0.52,7.10241e-05,0.0021307229999999997
521,0.521,7.1013e-05,0.0021303900000000002
522,0.522,7.10019e-05,0.002130057
523,0.523,7.09909e-05,0.002129727
524,0.524,7.09799e-05,0.002129397
525,0.525,7.09688e-05,0.002129064
526,0.526,7.09579e-05,0.002128737
527,0.527,7.09469e-05,0.002128407
528,0.528,7.0936e-05,0.00212808
529,0.529,7.0925e-05,0.0021277500000000003
530,0.53,7.09141e-05,0.002127423
531,0.531,7.09033e-05,0.002127099
532,0.532,7.08924e-05,0.002126772
533,0.533,7.08816e-05,0.002126448
534,0.534,7.08708e-05,0.002126124
535,0.535,7.086e-05,0.0021257999999999997
536,0.536,7.08492e-05,0.002125476
537,0.537,7.08385e-05,0.002125155
538,0.538,7.08278e-05,0.0021248340000000004
539,0.539,7.08171e-05,0.002124513
540,0.54,7.08064e-05,0.002124192
541,0.541,7.07957e-05,0.002123871
542,0.542,7.07851e-05,0.0021235530000000002
543,0.543,7.07745e-05,0.0021232350000000002
544,0.544,7.07639e-05,0.0021229169999999998
545,0.545,7.07533e-05,0.002122599
546,0.546,7.07428e-05,0.002122284
547,0.547,7.07322e-05,0.002121966
548,0.548,7.07217e-05,0.002121651
549,0.549,7.07113e-05,0.002121339
550,0.55,7.07008e-05,0.002121024
551,0.551,7.06904e-05,0.0021207120000000003
552,0.552,7.06799e-05,0.002120397
553,0.553,7.06695e-05,0.0021200850000000003
554,0.554,7.06592e-05,0.0021197760000000003
555,0.555,7.06488e-05,0.0021194639999999997
556,0.556,7.06385e-05,0.002119155
557,0.557,7.06282e-05,0.002118846
558,0.558,7.06179e-05,0.002118537
559,0.559,7.06076e-05,0.0021182279999999998
560,0.56,7.05974e-05,0.002117922
561,0.561,7.05872e-05,0.0021176159999999997
562,0.562,7.0577e-05,0.00211731
563,0.563,7.05668e-05,0.002117004
564,0.564,7.05566e-05,0.0021166979999999998
565,0.565,7.05465e-05,0.002116395
566,0.566,7.05364e-05,0.002116092
567,0.567,7.05263e-05,0.002115789
568,0.568,7.05162e-05,0.002115486
569,0.569,7.05062e-05,0.0021151860000000002
570,0.57,7.04961e-05,0.002114883
571,0.571,7.04861e-05,0.0021145829999999997
572,0.572,7.04761e-05,0.0021142830000000002
573,0.573,7.04662e-05,0.002113986
574,0.574,7.04562e-05,0.002113686
575,0.575,7.04463e-05,0.0021133890000000002
576,0.576,7.04364e-05,0.002113092
577,0.577,7.04265e-05,0.002112795
578,0.578,7.04167e-05,0.002112501
579,0.579,7.04068e-05,0.0021122040000000003
580,0.58,7.0397e-05,0.00211191
581,0.581,7.03872e-05,0.002111616
582,0.582,7.03775e-05,0.002111325
583,0.583,7.03677e-05,0.0021110309999999998
584,0.584,7.0358e-05,0.0021107400000000003
585,0.585,7.03483e-05,0.0021104490000000004
586,0.586,7.03386e-05,0.002110158
587,0.587,7.03289e-05,0.002109867
588,0.588,7.03193e-05,0.002109579
589,0.589,7.03097e-05,0.002109291
590,0.59,7.03001e-05,0.002109003
591,0.591,7.02905e-05,0.002108715
592,0.592,7.02809e-05,0.0021084270000000004
593,0.593,7.02714e-05,0.0021081420000000003
594,0.594,7.02619e-05,0.0021078570000000003
595,0.595,7.02524e-05,0.0021075720000000003
596,0.596,7.02429e-05,0.0021072870000000002
597,0.597,7.02334e-05,0.002107002
598,0.598,7.0224e-05,0.00210672
599,0.599,7.02146e-05,0.002106438
600,0.6,7.02052e-05,0.002106156
601,0.601,7.01959e-05,0.002105877
602,0.602,7.01865e-05,0.002105595
603,0.603,7.01772e-05,0.0021053160000000003
604,0.604,7.01679e-05,0.002105037
605,0.605,7.01586e-05,0.002104758
606,0.606,7.01493e-05,0.0021044790000000002
607,0.607,7.01401e-05,0.002104203
608,0.608,7.01309e-05,0.0021039270000000002
609,0.609,7.01217e-05,0.002103651
610,0.61,7.01125e-05,0.002103375
611,0.611,7.01034e-05,0.002103102
612,0.612,7.00942e-05,0.002102826
613,0.613,7.00851e-05,0.002102553
614,0.614,7.0076e-05,0.0021022799999999998
615,0.615,7.00669e-05,0.002102007
616,0.616,7.00579e-05,0.0021017370000000002
617,0.617,7.00489e-05,0.002101467
618,0.618,7.00399e-05,0.002101197
619,0.619,7.00309e-05,0.002100927
620,0.62,7.00219e-05,0.0021006569999999997
621,0.621,7.0013e-05,0.0021003899999999997
622,0.622,7.0004e-05,0.00210012
623,0.623,6.99951e-05,0.002099853
624,0.624,6.99863e-05,0.002099589
625,0.625,6.99774e-05,0.002099322
626,0.626,6.99686e-05,0.002099058
627,0.627,6.99597e-05,0.002098791
628,0.628,6.99509e-05,0.002098527
629,0.629,6.99422e-05,0.002098266
630,0.63,6.99334e-05,0.002098002
631,0.631,6.99247e-05,0.0020977409999999998
632,0.632,6.9916e-05,0.00209748
633,0.633,6.99073e-05,0.002097219
634,0.634,6.98986e-05,0.002096958
635,0.635,6.98899e-05,0.0020966970000000002
636,0.636,6.98813e-05,0.002096439
637,0.637,6.98727e-05,0.0020961810000000003
638,0.638,6.98641e-05,0.002095923
639,0.639,6.98555e-05,0.002095665
640,0.64,6.9847e-05,0.00209541
641,0.641,6.98385e-05,0.002095155
642,0.642,6.983e-05,0.0020949000000000002
643,0.643,6.98215e-05,0.002094645
644,0.644,6.9813e-05,0.0020943900000000002
645,0.645,6.98046e-05,0.002094138
646,0.646,6.97961e-05,0.002093883
647,0.647,6.97877e-05,0.002093631
648,0.648,6.97794e-05,0.002093382
649,0.649,6.9771e-05,0.0020931300000000003
650,0.65,6.97627e-05,0.002092881
651,0.651,6.97543e-05,0.002092629
652,0.652,6.9746e-05,0.00209238
653,0.653,6.97378e-05,0.002092134
654,0.654,6.97295e-05,0.002091885
655,0.655,6.97213e-05,0.002091639
656,0.656,6.97131e-05,0.002091393
